"Drink","Calories","Fat","Carb","Fiber","Protein","Sodium"
"Cool Lime Starbucks Refreshers™ Beverage","45","0","11","0","0","10"
"Ombré Pink Drink","NA","NA","NA","NA","NA","NA"
"Pink Drink","NA","NA","NA","NA","NA","NA"
"Strawberry Acai Starbucks Refreshers™ Beverage","80","0","18","1","0","10"
"Very Berry Hibiscus Starbucks Refreshers™ Beverage","60","0","14","1","0","10"
"Violet Drink","NA","NA","NA","NA","NA","NA"
"Evolution Fresh™ Cold-Pressed Apple Berry Juice","NA","NA","NA","NA","NA","NA"
"Evolution Fresh™ Defense Up","NA","NA","NA","NA","NA","NA"
"Evolution Fresh™ Organic Ginger Limeade","110","0","28","0","0","5"
"Iced Coffee","0","0","0","0","0","0"
"Iced Coffee with Milk","NA","NA","NA","NA","NA","NA"
"Iced Espresso Classics - Vanilla Latte","130","2.5","21","0","5","65"
"Iced Espresso Classics - Caffe Mocha","140","2.5","23","0","5","90"
"Iced Espresso Classics - Caramel Macchiato","130","2.5","21","0","5","65"
"Starbucks® Caramel Iced Coffee","NA","NA","NA","NA","NA","NA"
"Starbucks® Iced Coffee + Milk","NA","NA","NA","NA","NA","NA"
"Starbucks® Low Calorie Iced Coffee + Milk","NA","NA","NA","NA","NA","NA"
"Starbucks® Vanilla Iced Coffee","NA","NA","NA","NA","NA","NA"
"Shaken Sweet Tea","80","0","19","0","0","10"
"Tazo® Bottled Berry Blossom White","60","0","15","0","0","10"
"Tazo® Bottled Black Mango","150","0","38","0","0","15"
"Tazo® Bottled Black with Lemon","140","0","35","0","0","10"
"Tazo® Bottled Brambleberry","140","0","35","0","0","15"
"Tazo® Bottled Giant Peach","150","0","37","0","0","15"
"Tazo® Bottled Iced Passion","70","0","17","0","0","10"
"Tazo® Bottled Lemon Ginger","120","0","31","0","0","10"
"Tazo® Bottled Organic Black Lemonade","140","0","35","0","0","10"
"Tazo® Bottled Organic Iced Black Tea","60","0","15","0","0","10"
"Tazo® Bottled Organic Iced Green Tea","120","0","31","0","0","10"
"Tazo® Bottled Plum Pomegranate","140","0","35","0","0","10"
"Tazo® Bottled Tazoberry","150","0","38","0","0","15"
"Tazo® Bottled White Cranberry","140","0","35","0","0","10"
"Teavana® Shaken Iced Black Tea","30","0","8","0","0","5"
"Teavana® Shaken Iced Black Tea Lemonade","70","0","17","0","0","0"
"Teavana® Shaken Iced Green Tea","30","0","8","0","0","5"
"Teavana® Shaken Iced Green Tea Lemonade","70","0","17","0","0","5"
"Teavana® Shaken Iced Passion Tango™ Tea","30","0","8","0","0","5"
"Teavana® Shaken Iced Passion Tango™ Tea Lemonade","90","0","24","0","0","0"
"Teavana® Shaken Iced Peach Green Tea","60","0","15","0","0","0"
"Iced Espresso Classics - Vanilla Latte","130","2.5","21","0","5","65"
"Iced Espresso Classics - Caffe Mocha","140","2.5","23","0","5","90"
"Iced Espresso Classics - Caramel Macchiato","130","2.5","21","0","5","65"
"Iced Espresso Classics - Skinny Caramel Macchiato","NA","NA","NA","NA","NA","NA"
"Iced Espresso Classics - Skinny Vanilla Latte","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Energy Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Energy Mexican Mocha","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Energy Mocha Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Energy Vanilla Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Energy White Chocolate Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Energy+Cinnamon Dolce Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Espresso Cubano","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Espresso Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Espresso Salted Caramel Cream","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Light Espresso Drink","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® Protein Caramel","NA","NA","NA","NA","NA","NA"
"Starbucks Refreshers™ Raspberry Pomegranate","90","0","27","0","0","0"
"Starbucks Refreshers™ Strawberry Lemonade","90","0","27","0","0","0"
"Starbucks® Bottled Caramel Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Coffee Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Cold Brew Black, Unsweetened","NA","NA","NA","NA","NA","NA"
